Date,Open,High,Low,Close,Adj Close,Volume
1993-01-25,43.968750,43.968750,43.750000,43.937500,25.884184,1003200
1993-02-01,43.968750,45.093750,43.968750,44.968750,26.491711,2234800
1993-02-08,44.968750,45.125000,44.531250,44.593750,26.270786,1159800
1993-02-15,44.468750,44.468750,42.812500,43.562500,25.663250,998700
1993-02-22,43.687500,44.437500,43.468750,44.406250,26.160336,1024300
1993-03-01,44.562500,45.187500,44.218750,44.750000,26.362822,658500
1993-03-08,44.843750,45.843750,44.812500,45.093750,26.565350,1129000
1993-03-15,45.062500,45.500000,44.968750,45.031250,26.528517,489600
1993-03-22,44.593750,45.250000,44.562500,44.906250,26.579815,487400
1993-03-29,44.937500,45.468750,44.093750,44.093750,26.098917,443600
1993-04-05,44.437500,44.531250,44.062500,44.281250,26.209898,510700
1993-04-12,44.718750,45.156250,44.656250,44.937500,26.598322,810700
1993-04-19,44.937500,45.062500,43.687500,43.750000,25.895456,708100
1993-04-26,43.781250,44.281250,43.281250,44.031250,26.061916,478800
1993-05-03,44.093750,44.750000,43.906250,44.343750,26.246874,461300
1993-05-10,44.406250,44.687500,43.968750,44.000000,26.043427,380100
1993-05-17,44.125000,45.250000,43.843750,44.750000,26.487343,509000
1993-05-24,44.843750,45.656250,44.843750,45.218750,26.764803,457600
1993-05-31,45.375000,45.812500,45.093750,45.281250,26.801790,102200
1993-06-07,45.375000,45.375000,44.718750,45.093750,26.690807,934500
1993-06-14,45.156250,45.187500,44.500000,44.500000,26.339361,633400
1993-06-21,44.625000,44.906250,44.218750,44.781250,26.693693,682900
1993-06-28,45.000000,45.281250,44.531250,44.687500,26.637800,1976100
1993-07-05,44.625000,44.968750,44.156250,44.968750,26.805462,1216500
1993-07-12,44.906250,45.187500,44.656250,44.750000,26.675060,2040800
1993-07-19,44.750000,44.843750,44.468750,44.718750,26.656422,1318000
1993-07-26,44.843750,45.218750,44.781250,44.843750,26.730955,651200
1993-08-02,44.906250,45.187500,44.843750,44.968750,26.805462,996000
1993-08-09,45.093750,45.343750,44.906250,45.125000,26.898592,2382500
1993-08-16,45.156250,45.875000,45.156250,45.812500,27.308407,1134600
1993-08-23,45.625000,46.531250,45.625000,46.250000,27.569208,677000
1993-08-30,46.281250,46.593750,46.250000,46.375000,27.643705,1489400
1993-09-06,46.375000,46.437500,45.593750,46.406250,27.662340,812000
1993-09-13,46.562500,46.562500,45.750000,45.812500,27.308407,607600
1993-09-20,45.875000,45.968750,44.812500,45.781250,27.459816,957700
1993-09-27,46.125000,46.312500,45.812500,46.156250,27.684744,775900
1993-10-04,46.218750,46.375000,45.718750,46.062500,27.628521,1798000
1993-10-11,46.156250,47.156250,46.156250,47.062500,28.228321,2243000
1993-10-18,47.031250,47.031250,46.375000,46.375000,27.815947,2279800
1993-10-25,46.406250,46.968750,46.281250,46.843750,28.097107,629400
1993-11-01,46.781250,47.000000,45.531250,46.062500,27.628521,1271200
1993-11-08,46.093750,46.750000,45.968750,46.593750,27.947166,858100
1993-11-15,46.687500,46.812500,46.218750,46.312500,27.778465,1122300
1993-11-22,46.187500,46.593750,45.875000,46.500000,27.890930,1352000
1993-11-29,46.625000,46.718750,46.250000,46.718750,28.022135,1784700
1993-12-06,46.781250,46.937500,46.500000,46.593750,27.947166,1164400
1993-12-13,46.593750,46.906250,46.375000,46.562500,27.928411,580600
1993-12-20,46.531250,46.843750,46.406250,46.750000,28.232845,1218600
1993-12-27,46.750000,47.156250,46.562500,46.593750,28.138472,2127200
1994-01-03,46.593750,47.062500,46.406250,47.031250,28.402670,2812600
1994-01-10,47.093750,47.593750,46.968750,47.406250,28.629154,1428800
1994-01-17,47.406250,47.531250,47.250000,47.375000,28.610273,751600
1994-01-24,47.343750,48.031250,47.093750,47.875000,28.912218,1530300
1994-01-31,48.062500,48.312500,46.968750,46.968750,28.364937,2794300
1994-02-07,46.843750,47.437500,46.812500,47.156250,28.478170,2252500
1994-02-14,47.062500,47.687500,46.750000,46.875000,28.308331,4060100
1994-02-21,47.000000,47.437500,46.562500,46.812500,28.270565,1848300
1994-02-28,46.937500,47.062500,45.906250,46.687500,28.195089,2157100
1994-03-07,46.843750,47.000000,46.406250,46.843750,28.289469,4704200
1994-03-14,47.031250,47.312500,46.718750,46.968750,28.364937,2048500
1994-03-21,46.812500,47.062500,45.937500,45.937500,27.902195,2760400
1994-03-28,46.000000,46.062500,43.531250,44.593750,27.086002,3368300
1994-04-04,43.343750,45.125000,43.343750,44.687500,27.142941,5231300
1994-04-11,44.812500,45.062500,44.250000,44.593750,27.086002,2783800
1994-04-18,44.640625,45.046875,43.984375,44.859375,27.247339,1851400
1994-04-25,44.843750,45.359375,44.812500,45.093750,27.389700,1562500
1994-05-02,45.093750,45.718750,44.593750,44.750000,27.180912,1736400
1994-05-09,44.625000,44.843750,44.171875,44.515625,27.038557,1919800
1994-05-16,44.609375,45.859375,44.500000,45.562500,27.674402,2646800
1994-05-23,45.515625,45.937500,45.343750,45.875000,27.864220,2082100
1994-05-30,45.734375,46.390625,45.562500,46.234375,28.082487,966000
1994-06-06,46.328125,46.468750,45.781250,46.109375,28.006578,515400
1994-06-13,46.046875,46.562500,45.812500,45.875000,27.864220,861300
1994-06-20,45.546875,45.625000,44.000000,44.062500,26.940262,1832800
1994-06-27,44.234375,45.015625,44.015625,44.562500,27.245960,6744100
1994-07-04,44.656250,44.984375,44.468750,44.906250,27.456146,501900
1994-07-11,44.937500,45.484375,44.515625,45.390625,27.752295,1457300
1994-07-18,45.390625,45.578125,45.062500,45.343750,27.723629,1105000
1994-07-25,45.359375,46.046875,45.171875,45.906250,28.067554,1981000
1994-08-01,45.937500,46.375000,45.656250,45.781250,27.991121,1506000
1994-08-08,45.828125,46.343750,45.718750,46.328125,28.325481,2335100
1994-08-15,46.375000,46.734375,46.156250,46.421875,28.382797,2272300
1994-08-22,46.437500,47.781250,46.281250,47.687500,29.156612,1089900
1994-08-29,47.812500,47.984375,47.218750,47.296875,28.917795,1136700
1994-09-05,47.265625,47.562500,46.812500,47.000000,28.736288,1030900
1994-09-12,47.000000,47.640625,46.781250,47.015625,28.745825,2293200
1994-09-19,47.125000,47.328125,45.734375,45.906250,28.238260,1363400
1994-09-26,46.078125,46.531250,45.984375,46.171875,28.401642,1227600
1994-10-03,46.203125,46.296875,45.000000,45.453125,27.959532,1152600
1994-10-10,45.656250,47.328125,45.640625,47.046875,28.939899,2474700
1994-10-17,47.000000,47.234375,46.359375,46.562500,28.641933,929200
1994-10-24,46.578125,47.703125,46.000000,47.656250,29.314749,844800
1994-10-31,47.546875,47.593750,46.328125,46.328125,28.497761,798500
1994-11-07,46.437500,47.328125,46.281250,46.406250,28.545824,1216100
1994-11-14,46.609375,47.093750,46.265625,46.468750,28.584280,979200
1994-11-21,46.437500,46.578125,44.609375,45.468750,27.969131,1445600
1994-11-28,45.453125,45.953125,45.046875,45.562500,28.026798,1161700
1994-12-05,45.656250,45.812500,44.687500,45.046875,27.709629,1418400
1994-12-12,44.953125,46.031250,44.953125,45.750000,28.142151,821500
1994-12-19,45.750000,46.265625,45.609375,46.062500,28.560289,2688100
1994-12-26,46.218750,46.406250,45.562500,45.562500,28.250261,2883000
1995-01-02,45.703125,46.250000,45.687500,46.046875,28.550591,1214300
1995-01-09,46.031250,46.734375,45.812500,46.734375,28.976866,699900
1995-01-16,46.718750,47.078125,46.453125,46.546875,28.860609,496900
1995-01-23,46.234375,47.234375,46.203125,47.109375,29.209383,202800
1995-01-30,47.015625,48.109375,46.843750,48.031250,29.780966,1071100
1995-02-06,48.015625,48.468750,47.968750,48.359375,29.984426,2168800
1995-02-13,48.328125,48.765625,48.250000,48.453125,30.042553,829800
1995-02-20,48.453125,49.156250,48.421875,49.000000,30.381636,1264800
1995-02-27,48.859375,49.031250,48.484375,48.781250,30.246012,1795600
1995-03-06,48.453125,49.390625,48.218750,49.265625,30.546331,678100
1995-03-13,49.234375,49.812500,49.171875,49.562500,30.730394,873400
1995-03-20,49.625000,50.218750,49.328125,50.218750,31.305834,625500
1995-03-27,50.296875,50.890625,49.546875,50.109375,31.237652,1339800
1995-04-03,50.093750,50.859375,50.062500,50.703125,31.607792,1081300
1995-04-10,50.625000,51.093750,50.593750,51.078125,31.841572,930000
1995-04-17,51.265625,51.312500,50.296875,50.890625,31.724686,1084300
1995-04-24,50.859375,51.671875,50.859375,51.593750,32.163002,1299600
1995-05-01,51.546875,52.687500,51.390625,52.187500,32.533138,2098100
1995-05-08,52.140625,52.875000,52.093750,52.750000,32.883789,1140300
1995-05-15,52.890625,53.156250,51.906250,52.093750,32.474693,1499700
1995-05-22,52.265625,53.421875,52.234375,52.562500,32.766911,1622100
1995-05-29,52.687500,53.921875,52.375000,53.546875,33.380550,1549000
1995-06-05,53.546875,54.046875,52.750000,53.062500,33.078602,910900
1995-06-12,53.234375,54.234375,53.203125,53.968750,33.643551,1487500
1995-06-19,54.125000,55.156250,54.093750,55.015625,34.497559,1193000
1995-06-26,54.859375,54.953125,54.062500,54.406250,34.115467,1276500
1995-07-03,54.468750,55.781250,54.468750,55.765625,34.967857,1103000
1995-07-10,55.812500,56.312500,55.453125,56.046875,35.144215,1783600
1995-07-17,56.125000,56.421875,54.203125,55.406250,34.742500,1292200
1995-07-24,55.484375,56.703125,55.484375,56.296875,35.300968,986900
1995-07-31,56.343750,56.796875,55.453125,55.984375,35.105019,2158000
1995-08-07,56.109375,56.312500,55.421875,55.656250,34.899281,1790100
1995-08-14,55.796875,56.406250,55.656250,56.171875,35.222588,1113300
1995-08-21,56.406250,56.640625,55.750000,56.296875,35.300968,1025800
1995-08-28,56.453125,56.750000,55.765625,56.656250,35.526329,2985300
1995-09-04,56.828125,57.546875,56.734375,57.546875,36.084797,852800
1995-09-11,57.640625,58.812500,57.578125,58.437500,36.643257,1528800
1995-09-18,58.234375,58.781250,57.781250,58.312500,36.760036,2106300
1995-09-25,58.375000,58.906250,57.593750,58.484375,36.868389,2313800
1995-10-02,58.484375,58.625000,57.953125,58.406250,36.819134,1725700
1995-10-09,58.187500,58.859375,57.265625,58.625000,36.957047,1635000
1995-10-16,58.453125,59.187500,58.296875,58.828125,37.085094,2066700
1995-10-23,58.546875,58.890625,57.281250,58.187500,36.681244,2520500
1995-10-30,58.328125,59.250000,58.234375,59.234375,37.341202,2353600
1995-11-06,59.218750,59.609375,58.625000,59.531250,37.528336,2325900
1995-11-13,59.421875,60.203125,59.078125,60.187500,37.942036,2589700
1995-11-20,60.281250,60.375000,59.859375,60.328125,38.030697,982000
1995-11-27,60.453125,61.203125,60.156250,60.984375,38.444370,2052600
1995-12-04,61.125000,62.531250,61.046875,62.156250,39.183125,2058800
1995-12-11,62.281250,62.796875,61.593750,61.812500,38.966423,1688300
1995-12-18,61.265625,61.515625,60.578125,61.203125,38.820820,4425100
1995-12-25,61.453125,61.656250,61.250000,61.484375,38.999214,1179400
1996-01-01,61.406250,62.625000,61.171875,61.593750,39.068573,2556800
1996-01-08,61.812500,62.062500,59.640625,60.234375,38.206348,2286700
1996-01-15,60.250000,61.421875,59.859375,61.265625,38.860455,1611800
1996-01-22,61.218750,62.265625,61.109375,62.234375,39.474922,3181600
1996-01-29,62.187500,64.015625,62.140625,63.640625,40.366894,1895000
1996-02-05,63.531250,66.375000,63.437500,65.828125,41.754436,3513200
1996-02-12,65.953125,66.687500,64.734375,64.937500,41.189518,3599400
1996-02-19,64.437500,66.609375,63.875000,65.937500,41.823780,3078100
1996-02-26,65.750000,65.890625,63.609375,64.890625,41.159779,5242200
